event_id,person_id,involvement_type
180,1075,Witness
181,1064,Victim
181,1030,Witness
182,1135,Victim
182,1058,Witness
182,1079,Responder
183,1173,Responder
183,1007,Responder
183,1011,Witness
184,1016,Victim
184,1004,Responder
185,1020,Victim
185,1044,Victim
185,1057,Responder
186,1150,Victim
186,1101,Responder
187,1075,Victim
187,1199,Responder
188,1066,Victim
188,1144,Responder
189,1099,Victim
189,1192,Witness
189,1199,Responder
190,1181,Victim
190,1008,Witness
190,1080,Responder
191,1124,Victim
191,1031,Responder
191,1194,Witness
192,1087,Responder
192,1185,Responder
193,1160,Victim
193,1052,Responder
193,1001,Responder
194,1066,Victim
194,1144,Witness
194,1052,Responder
194,1001,Responder
195,1100,Victim
195,1199,Responder
195,1152,Responder
196,1024,Victim
196,1016,Responder
197,1068,Victim
197,1048,Witness
197,1137,Responder
198,1077,Victim
198,1087,Witness
198,1152,Responder
199,1136,Victim
199,1016,Responder
200,1163,Victim
200,1189,Witness
200,1185,Responder
201,1161,Victim
201,1185,Responder
202,1172,Victim
202,1105,Responder
203,1019,Victim
203,1083,Witness
205,1064,Victim
205,1016,Responder
206,1184,Victim
206,1191,Responder
206,1065,Responder
207,1068,Victim
207,1005,Responder
208,1008,Victim
208,1070,Responder
208,1052,Responder
209,1082,Victim
209,1035,Responder
210,1172,Victim
210,1152,Responder
210,1052,Responder
211,1178,Victim
211,1078,Witness
212,1170,Victim
212,1164,Witness
213,1077,Victim
214,1127,Victim
214,1017,Responder
215,1084,Responder
215,1119,Witness
215,1126,Witness
216,1185,Victim
216,1092,Responder
217,1138,Victim
217,1090,Witness
218,1156,Victim
218,1180,Responder
219,1114,Victim
219,1037,Witness
222,1030,Victim
222,1038,Responder
222,1127,Responder
222,1052,Responder
224,1162,Witness
224,1032,Responder
225,1008,Witness
225,1161,Responder
226,1050,Victim
226,1166,Responder
226,1004,Responder
227,1182,Witness
227,1114,Responder
229,1195,Victim
229,1087,Responder
229,1011,Responder
230,1068,Victim
230,1087,Responder
230,1011,Responder
232,1196,Victim
232,1134,Witness
232,1007,Responder
233,1141,Victim
233,1107,Responder
233,1102,Responder
234,1013,Victim
234,1177,Witness
234,1007,Responder
234,1101,Responder
235,1067,Victim
235,1023,Responder
236,1136,Witness
237,1102,Witness
238,1181,Victim
238,1027,Witness
238,1072,Witness
239,1073,Victim
239,1154,Witness
241,1103,Victim
241,1191,Responder
242,1082,Victim
242,1179,Responder
243,1013,Victim
244,1103,Victim
244,1135,Witness
245,1022,Victim
245,1079,Responder
247,1172,Victim
247,1090,Responder
247,1026,Witness
248,1119,Victim
248,1010,Responder
249,1092,Victim
249,1039,Responder
250,1024,Victim
250,1090,Witness
250,1052,Responder
251,1169,Victim
251,1037,Witness
251,1057,Responder
252,1042,Victim
252,1174,Witness
252,1123,Responder
253,1127,Victim
253,1090,Witness
254,1022,Witness
254,1139,Responder
255,1184,Victim
256,1040,Victim
256,1097,Responder
257,1012,Victim
257,1019,Witness
258,1095,Victim
259,1067,Victim
259,1166,Witness
260,1174,Victim
260,1170,Witness
261,1062,Responder
262,1188,Victim
262,1079,Witness
263,1165,Victim
263,1105,Responder
264,1174,Victim
264,1088,Witness
265,1064,Victim
265,1003,Responder
266,1014,Victim
266,1004,Witness
266,1168,Responder
267,1042,Victim
267,1184,Witness
267,1057,Responder
268,1014,Victim
268,1115,Responder
269,1077,Victim
269,1051,Responder
269,1011,Responder
270,1086,Victim
270,1102,Responder
271,1042,Victim
271,1037,Responder
271,1084,Responder
271,1102,Responder
272,1138,Victim
272,1177,Witness
272,1084,Responder
272,1157,Responder
273,1024,Victim
273,1025,Responder
273,1013,Witness
273,1147,Responder
274,1044,Victim
274,1003,Responder
274,1081,Witness
275,1178,Victim
275,1199,Responder
275,1151,Witness
276,1081,Responder
276,1142,Responder
276,1003,Witness
277,1159,Victim
277,1192,Witness
277,1150,Witness
278,1086,Victim
279,1177,Responder
279,1149,Responder
280,1029,Victim
280,1172,Witness
282,1092,Victim
283,1141,Victim
283,1194,Witness
284,1054,Witness
284,1001,Responder
285,1178,Victim
285,1056,Responder
285,1173,Witness
286,1108,Victim
286,1001,Responder
288,1045,Victim
288,1052,Responder
288,1001,Responder
289,1022,Victim
289,1170,Witness
289,1194,Witness
290,1083,Victim
290,1037,Responder
291,1184,Victim
291,1037,Responder
292,1024,Victim
292,1140,Witness
293,1092,Victim
293,1151,Responder
294,1163,Victim
294,1157,Responder
295,1198,Victim
295,1014,Witness
295,1128,Responder
296,1058,Witness
296,1049,Responder
297,1094,Responder
298,1130,Victim
298,1083,Witness
298,1065,Responder
299,1048,Witness
299,1058,Witness
300,1110,Victim
300,1124,Witness
300,1144,Responder
302,1064,Victim
302,1139,Witness
302,1102,Responder
303,1034,Victim
303,1133,Responder
303,1084,Responder
304,1127,Victim
304,1171,Responder
304,1013,Witness
305,1092,Witness
305,1133,Responder
305,1069,Responder
306,1058,Responder
306,1168,Witness
307,1014,Victim
307,1015,Witness
307,1107,Responder
308,1200,Victim
308,1010,Witness
308,1084,Responder
309,1027,Victim
309,1015,Witness
309,1107,Responder
310,1198,Victim
310,1012,Witness
311,1156,Victim
311,1039,Witness
312,1173,Responder
313,1106,Victim
313,1128,Witness
314,1058,Witness
314,1039,Responder
315,1039,Victim
315,1083,Responder
316,1174,Victim
316,1183,Responder
317,1030,Victim
317,1014,Witness
318,1138,Victim
318,1032,Responder
319,1008,Victim
319,1060,Witness
320,1056,Victim
320,1128,Witness
321,1081,Responder
322,1024,Victim
322,1070,Witness
322,1084,Responder
323,1078,Victim
323,1200,Witness
323,1052,Responder
324,1131,Victim
324,1114,Responder
324,1123,Responder
325,1011,Responder
325,1131,Responder
326,1195,Victim
326,1052,Responder
327,1194,Victim
327,1152,Witness
327,1052,Responder
328,1172,Victim
328,1175,Witness
328,1003,Responder
329,1156,Victim
329,1144,Responder
329,1003,Responder
330,1181,Victim
330,1184,Witness
330,1115,Responder
330,1003,Responder
331,1159,Victim
331,1124,Witness
331,1039,Responder
332,1196,Victim
332,1040,Witness
333,1131,Discoverer
333,1185,Responder
333,1069,Responder
334,1160,Victim
334,1066,Witness
334,1052,Responder
335,1064,Victim
335,1185,Responder
336,1026,Victim
336,1177,Witness
336,1052,Responder
337,1022,Victim
337,1152,Responder
337,1003,Responder
338,1032,Victim
338,1121,Witness
338,1007,Responder
339,1159,Victim
339,1187,Witness
339,1003,Responder
340,1040,Victim
340,1117,Witness
341,1143,Victim
341,1148,Witness
341,1010,Responder
342,1131,Victim
342,1075,Witness
343,1126,Victim
343,1011,Responder
344,1114,Victim
344,1088,Witness
344,1102,Responder
345,1092,Victim
345,1011,Responder
346,1190,Victim
346,1013,Witness
346,1003,Responder
347,1066,Victim
347,1139,Witness
347,1003,Responder
348,1081,Victim
348,1057,Responder
349,1135,Victim
349,1050,Witness
350,1046,Victim
350,1040,Witness
350,1087,Responder
351,1050,Victim
351,1102,Responder
351,1087,Responder
352,1146,Victim
352,1020,Responder
352,1039,Responder
353,1110,Victim
353,1066,Victim
353,1018,Responder
354,1195,Victim
354,1039,Responder
354,1185,Responder
355,1060,Victim
355,1057,Responder
356,1182,Victim
356,1118,Witness
356,1102,Responder
357,1120,Victim
357,1052,Responder
358,1122,Victim
358,1117,Witness
358,1004,Responder
359,1010,Responder
359,1172,Victim
360,1140,Victim
360,1102,Responder
361,1090,Victim
361,1175,Witness
361,1107,Responder
362,1027,Victim
362,1015,Responder
362,1152,Responder
363,1086,Victim
363,1015,Responder
364,1174,Victim
364,1101,Responder
364,1131,Witness
365,1136,Victim
365,1102,Responder
366,1131,Victim
366,1149,Witness
367,1171,Victim
367,1172,Witness
367,1057,Responder
368,1194,Victim
368,1011,Responder
368,1064,Witness
369,1105,Responder
369,1057,Responder
370,1130,Victim
370,1191,Responder
371,1034,Victim
371,1011,Responder
372,1188,Victim
372,1007,Responder
373,1130,Victim
373,1026,Witness
375,1165,Victim
375,1197,Responder
376,1141,Victim
376,1039,Responder
376,1158,Witness
377,1108,Victim
377,1144,Witness
377,1158,Responder
378,1111,Witness
378,1108,Responder
379,1169,Victim
379,1107,Responder
380,1078,Victim
380,1101,Responder
380,1013,Witness
381,1087,Victim
381,1157,Responder
382,1170,Victim
382,1047,Witness
383,1114,Victim
383,1094,Responder
384,1125,Victim
385,1191,Victim
385,1065,Responder
386,1069,Responder
386,1194,Witness
387,1083,Victim
387,1037,Responder
387,1065,Responder
388,1165,Victim
388,1105,Responder
389,1124,Victim
389,1100,Victim
389,1105,Responder
390,1041,Witness
390,1105,Responder
391,1024,Victim
391,1147,Responder
392,1013,Victim
392,1166,Responder
393,1178,Victim
393,1048,Responder
393,1015,Responder
394,1044,Victim
394,1035,Witness
395,1145,Victim
395,1075,Responder
396,1195,Victim
396,1092,Responder
397,1030,Victim
397,1171,Witness
398,1104,Witness
398,1101,Responder
399,1118,Victim
399,1116,Witness
400,1008,Victim
400,1045,Responder
401,1192,Victim
401,1042,Witness
402,1077,Victim
402,1075,Witness
403,1195,Victim
403,1017,Witness
404,1092,Victim
404,1093,Witness
405,1086,Victim
405,1071,Witness
405,1087,Responder
406,1122,Victim
406,1088,Responder
407,1169,Victim
407,1139,Responder
408,1027,Victim
408,1183,Responder
409,1195,Victim
409,1158,Responder
410,1178,Victim
410,1147,Responder
411,1179,Victim
411,1197,Responder
412,1141,Victim
412,1161,Responder
413,1108,Victim
413,1047,Witness
413,1183,Responder
414,1135,Victim
414,1130,Witness
415,1117,Victim
415,1065,Witness
415,1057,Responder
416,1143,Victim
416,1031,Witness
417,1194,Victim
417,1185,Responder
417,1057,Responder
418,1008,Victim
418,1065,Responder
419,1120,Victim
419,1014,Witness
419,1018,Witness
420,1066,Victim
420,1019,Witness
421,1103,Victim
421,1021,Witness
421,1179,Responder
422,1179,Victim
422,1157,Responder
422,1073,Witness
423,1164,Victim
423,1200,Witness
424,1008,Victim
424,1175,Responder
425,1071,Victim
425,1144,Responder
425,1115,Responder
426,1184,Victim
426,1175,Responder
426,1063,Responder
427,1090,Victim
427,1004,Responder
428,1069,Responder
429,1170,Victim
429,1081,Responder
429,1115,Responder
430,1184,Victim
430,1090,Responder
430,1003,Responder
431,1092,Victim
431,1126,Responder
431,1157,Responder
432,1108,Victim
432,1028,Responder
433,1050,Victim
433,1156,Witness
434,1194,Victim
434,1036,Witness
436,1053,Victim
436,1095,Witness
436,1105,Responder
437,1086,Victim
437,1102,Responder
437,1039,Responder
438,1062,Responder
438,1115,Responder
439,1024,Victim
439,1101,Responder
440,1127,Victim
440,1101,Responder
441,1067,Victim
441,1101,Responder
442,1026,Victim
442,1007,Responder
443,1083,Victim
443,1004,Responder
443,1107,Witness
444,1194,Victim
444,1107,Responder
445,1090,Victim
445,1135,Witness
446,1086,Victim
446,1115,Responder
447,1020,Victim
448,1008,Victim
448,1191,Witness
448,1185,Responder
449,1150,Victim
449,1168,Responder
450,1064,Victim
450,1048,Responder
450,1133,Responder
451,1065,Witness
451,1039,Responder
452,1039,Victim
452,1131,Responder
453,1071,Victim
453,1108,Witness
453,1073,Responder
454,1050,Victim
454,1133,Responder
455,1134,Victim
455,1003,Witness
456,1114,Victim
456,1133,Responder
457,1130,Victim
457,1104,Witness
457,1115,Responder
458,1092,Victim
458,1097,Responder
459,1067,Victim
459,1171,Witness
459,1115,Responder
460,1190,Victim
460,1079,Responder
461,1131,Victim
461,1143,Responder
463,1060,Victim
463,1175,Witness
464,1081,Responder
464,1119,Witness
465,1086,Victim
466,1153,Victim
466,1051,Responder
467,1164,Victim
467,1150,Witness
467,1166,Responder
468,1097,Victim
468,1152,Responder
468,1085,Witness
469,1067,Victim
469,1101,Responder
470,1082,Victim
470,1139,Witness
471,1179,Victim
471,1194,Responder
472,1153,Victim
472,1101,Responder
473,1178,Witness
473,1131,Responder
474,1086,Victim
475,1127,Victim
475,1180,Responder
475,1007,Responder
476,1100,Victim
476,1151,Responder
476,1154,Responder
477,1154,Victim
477,1119,Responder
478,1194,Victim
478,1068,Witness
480,1174,Victim
480,1010,Responder
481,1181,Victim
481,1090,Witness
482,1182,Victim
482,1047,Witness
482,1136,Responder
483,1131,Victim
483,1021,Witness
485,1139,Victim
485,1039,Responder
486,1097,Victim
486,1041,Responder
487,1050,Victim
487,1190,Witness
487,1065,Responder
488,1102,Responder
488,1199,Responder
488,1039,Witness
489,1131,Victim
489,1039,Responder
489,1102,Responder
490,1050,Victim
490,1065,Responder
491,1044,Victim
491,1176,Witness
491,1143,Responder
492,1086,Victim
492,1065,Responder
493,1141,Victim
493,1090,Witness
493,1051,Responder
494,1022,Victim
494,1047,Witness
494,1007,Responder
495,1039,Victim
495,1012,Responder
495,1115,Responder
496,1044,Victim
496,1046,Witness
496,1143,Responder
497,1130,Victim
497,1105,Responder
497,1169,Responder
498,1096,Victim
498,1169,Responder
499,1181,Victim
499,1101,Witness
499,1052,Responder
500,1183,Witness
500,1107,Responder
500,1108,Witness
501,1146,Victim
501,1102,Responder
501,1199,Responder
502,1164,Victim
502,1104,Witness
503,1096,Victim
503,1199,Responder
504,1105,Victim
504,1038,Witness
505,1030,Victim
505,1014,Witness
505,1191,Witness
506,1021,Victim
506,1052,Responder
507,1012,Victim
507,1019,Witness
509,1103,Victim
509,1112,Witness
509,1052,Responder
510,1167,Responder
510,1197,Victim
511,1156,Victim
511,1110,Witness
511,1115,Responder
512,1092,Victim
512,1147,Witness
512,1157,Responder
513,1020,Victim
513,1115,Responder
514,1194,Victim
514,1085,Witness
515,1072,Victim
515,1176,Witness
516,1022,Victim
516,1179,Responder
517,1159,Victim
517,1121,Witness
518,1036,Victim
519,1085,Witness
520,1109,Victim
520,1138,Witness
521,1154,Victim
521,1167,Responder
522,1086,Victim
522,1135,Witness
523,1135,Victim
523,1040,Witness
524,1082,Victim
524,1070,Responder
524,1182,Witness
525,1150,Victim
525,1083,Witness
526,1090,Victim
526,1018,Witness
526,1126,Responder
527,1155,Victim
527,1025,Witness
527,1037,Responder
528,1163,Victim
528,1037,Responder
529,1140,Victim
529,1105,Responder
530,1085,Victim
530,1013,Witness
530,1052,Responder
531,1117,Victim
531,1002,Responder
531,1052,Responder
532,1200,Victim
532,1180,Witness
532,1052,Responder
533,1020,Witness
533,1169,Responder
533,1069,Responder
534,1178,Victim
534,1179,Responder
535,1093,Victim
535,1012,Responder
535,1152,Responder
536,1058,Victim
536,1104,Witness
536,1105,Responder
537,1186,Victim
537,1190,Responder
538,1042,Victim
538,1146,Responder
538,1160,Witness
539,1195,Victim
539,1090,Responder
539,1115,Witness
540,1106,Victim
540,1070,Responder
540,1195,Witness
541,1048,Victim
541,1124,Witness
541,1039,Responder
542,1039,Victim
542,1012,Responder
542,1125,Witness
543,1012,Victim
543,1017,Witness
544,1074,Victim
544,1017,Responder
544,1007,Responder
546,1143,Responder
546,1007,Responder
547,1196,Victim
547,1084,Responder
548,1036,Victim
548,1136,Responder
549,1179,Victim
549,1157,Responder
549,1136,Responder
550,1109,Victim
550,1199,Responder
551,1117,Victim
551,1150,Witness
551,1009,Responder
552,1084,Responder
552,1047,Victim
553,1029,Victim
553,1044,Witness
554,1094,Victim
555,1097,Victim
556,1171,Victim
556,1079,Responder
556,1003,Witness
557,1020,Victim
557,1003,Responder
558,1174,Victim
558,1048,Witness
558,1152,Responder
559,1008,Victim
559,1169,Responder
560,1154,Victim
560,1115,Responder
561,1183,Victim
562,1148,Victim
562,1051,Responder
563,1109,Victim
563,1075,Witness
563,1051,Responder
564,1075,Victim
564,1140,Victim
565,1165,Victim
565,1090,Responder
566,1187,Victim
566,1087,Witness
566,1147,Responder
567,1163,Victim
567,1087,Witness
568,1083,Victim
568,1024,Witness
569,1124,Witness
569,1161,Responder
570,1108,Victim
570,1185,Responder
571,1109,Victim
571,1052,Responder
572,1081,Witness
572,1001,Responder
573,1189,Victim
573,1052,Responder
573,1005,Witness
574,1170,Victim
574,1183,Responder
575,1008,Victim
575,1127,Witness
576,1077,Victim
576,1025,Witness
577,1058,Victim
577,1052,Responder
578,1114,Victim
578,1052,Responder
578,1199,Witness
579,1167,Victim
579,1182,Witness
579,1052,Responder
580,1127,Victim
580,1004,Responder
580,1030,Responder
581,1081,Victim
581,1182,Witness
582,1162,Victim
582,1100,Witness
582,1004,Responder
583,1145,Victim
583,1027,Witness
584,1168,Responder
584,1037,Responder
585,1164,Victim
585,1110,Witness
586,1022,Victim
586,1187,Witness
586,1136,Responder
587,1159,Victim
587,1023,Witness
587,1107,Responder
588,1119,Victim
588,1107,Witness
588,1007,Responder
589,1127,Victim
589,1191,Witness
590,1196,Victim
590,1063,Responder
591,1081,Witness
591,1115,Responder
592,1138,Victim
592,1162,Witness
592,1001,Responder
593,1022,Victim
593,1001,Responder
594,1036,Witness
594,1185,Responder
595,1020,Victim
595,1170,Witness
595,1051,Responder
596,1056,Victim
596,1007,Responder
597,1066,Victim
597,1053,Witness
598,1056,Victim
598,1004,Responder
598,1087,Responder
599,1044,Victim
599,1010,Responder
599,1136,Responder
600,1081,Responder
600,1039,Responder
600,1062,Witness
601,1024,Victim
601,1035,Witness
601,1052,Responder
602,1174,Victim
602,1152,Responder
603,1114,Victim
603,1052,Responder
604,1117,Victim
604,1069,Responder
604,1052,Responder
605,1170,Victim
605,1010,Witness
605,1105,Witness
606,1064,Victim
606,1146,Witness
606,1052,Responder
607,1146,Victim
607,1097,Responder
607,1066,Witness
608,1188,Victim
608,1004,Responder
609,1040,Victim
610,1176,Victim
610,1056,Witness
610,1079,Responder
611,1083,Victim
611,1037,Responder
611,1029,Witness
612,1194,Victim
612,1016,Witness
613,1060,Victim
613,1181,Witness
614,1034,Witness
614,1049,Responder
615,1063,Responder
616,1156,Victim
616,1134,Witness
617,1131,Victim
617,1081,Responder
618,1071,Victim
618,1192,Witness
620,1182,Victim
620,1069,Responder
621,1037,Responder
621,1155,Responder
622,1141,Victim
622,1150,Witness
623,1115,Responder
623,1148,Witness
624,1149,Victim
624,1043,Responder
625,1171,Victim
625,1151,Responder
625,1038,Responder
626,1086,Victim
626,1151,Responder
627,1192,Victim
628,1022,Victim
628,1079,Witness
628,1003,Responder
629,1109,Witness
629,1079,Witness
629,1003,Responder
630,1081,Victim
630,1188,Witness
630,1084,Responder
631,1147,Victim
631,1184,Witness
631,1133,Responder
632,1195,Victim
632,1004,Responder
632,1052,Responder
633,1081,Victim
633,1158,Witness
633,1037,Responder
634,1060,Victim
634,1024,Witness
634,1018,Responder
635,1020,Victim
635,1188,Witness
635,1007,Responder
636,1048,Victim
636,1037,Responder
636,1029,Witness
637,1106,Victim
637,1070,Witness
640,1024,Victim
640,1030,Witness
640,1175,Responder
641,1011,Victim
641,1179,Responder
642,1013,Victim
642,1005,Responder
643,1050,Victim
643,1065,Witness
644,1114,Victim
644,1109,Witness
645,1148,Responder
646,1140,Victim
646,1115,Responder
646,1011,Responder
647,1148,Victim
647,1118,Victim
647,1139,Responder
647,1107,Responder
648,1158,Responder
648,1106,Victim
648,1070,Victim
648,1011,Responder
649,1170,Victim
649,1084,Responder
650,1087,Victim
650,1032,Witness
650,1189,Witness
651,1148,Victim
651,1151,Responder
652,1130,Victim
652,1039,Responder
653,1103,Victim
653,1048,Responder
654,1020,Victim
654,1136,Responder
655,1109,Victim
655,1004,Responder
656,1148,Victim
656,1064,Witness
656,1062,Responder
657,1039,Victim
657,1062,Witness
658,1117,Victim
658,1068,Witness
659,1062,Responder
660,1010,Victim
660,1071,Witness
660,1022,Responder
661,1165,Victim
661,1115,Responder
662,1197,Victim
662,1115,Responder
663,1120,Victim
663,1115,Responder
664,1198,Victim
664,1179,Responder
665,1149,Victim
665,1037,Responder
666,1053,Victim
666,1101,Responder
667,1092,Victim
667,1031,Witness
667,1199,Responder
668,1060,Victim
668,1147,Responder
668,1161,Responder
669,1184,Victim
669,1097,Witness
669,1089,Responder
670,1064,Victim
670,1152,Responder
670,1001,Responder
671,1109,Victim
671,1159,Witness
671,1001,Responder
672,1075,Responder
672,1001,Responder
673,1126,Victim
673,1007,Responder
674,1032,Victim
674,1016,Witness
674,1007,Responder
675,1200,Victim
675,1126,Witness
675,1007,Responder
676,1103,Victim
676,1063,Responder
676,1040,Witness
677,1086,Victim
677,1139,Responder
678,1016,Victim
678,1127,Witness
679,1024,Victim
679,1043,Responder
679,1032,Witness
680,1154,Victim
680,1041,Witness
681,1163,Victim
681,1043,Responder
682,1200,Victim
682,1156,Witness
683,1058,Victim
683,1114,Witness
683,1028,Responder
684,1092,Victim
684,1147,Responder
685,1103,Victim
685,1087,Responder
686,1139,Responder
686,1114,Witness
686,1174,Witness
687,1012,Victim
687,1019,Responder
688,1184,Witness
688,1006,Responder
688,1075,Victim
689,1092,Victim
689,1150,Witness
690,1058,Victim
690,1080,Responder
691,1072,Victim
691,1168,Responder
692,1118,Victim
692,1170,Victim
692,1128,Responder
693,1187,Victim
693,1161,Responder
694,1148,Victim
694,1093,Witness
694,1102,Responder
695,1048,Victim
695,1052,Witness
695,1133,Responder
696,1107,Responder
696,1130,Witness
697,1034,Victim
697,1102,Responder
698,1053,Victim
698,1115,Responder
698,1178,Witness
699,1148,Victim
699,1007,Responder
699,1102,Responder
700,1198,Victim
700,1100,Responder
700,1151,Witness
701,1118,Responder
701,1133,Responder
702,1134,Victim
702,1029,Witness
702,1151,Responder
703,1069,Responder
703,1184,Witness
704,1161,Responder
704,1147,Witness
704,1131,Responder
705,1069,Responder
705,1159,Victim
705,1184,Responder
706,1097,Victim
706,1069,Responder
707,1109,Victim
707,1128,Responder
707,1052,Responder
708,1167,Victim
708,1085,Witness
708,1152,Responder
709,1030,Victim
709,1107,Responder
710,1108,Victim
710,1115,Responder
710,1152,Responder
711,1039,Responder
711,1107,Responder
711,1152,Responder
712,1066,Victim
712,1012,Witness
713,1056,Victim
713,1002,Responder
714,1157,Responder
714,1173,Responder
715,1153,Victim
715,1186,Witness
715,1145,Responder
716,1178,Victim
716,1058,Witness
717,1145,Victim
717,1073,Witness
718,1185,Victim
718,1045,Responder
719,1010,Responder
719,1110,Victim
720,1196,Victim
720,1028,Responder
721,1141,Victim
721,1027,Witness
721,1147,Responder
722,1042,Victim
722,1148,Responder
723,1025,Victim
723,1194,Witness
723,1071,Responder
724,1148,Witness
724,1139,Responder
725,1029,Victim
725,1151,Responder
726,1154,Victim
726,1037,Responder
727,1090,Victim
727,1047,Witness
728,1077,Victim
728,1173,Responder
729,1143,Victim
729,1154,Witness
729,1047,Witness
730,1022,Victim
730,1072,Witness
731,1060,Victim
732,1092,Witness
732,1147,Responder
733,1083,Victim
733,1110,Witness
733,1052,Responder
734,1196,Victim
734,1020,Witness
734,1177,Witness
734,1007,Responder
735,1022,Victim
735,1193,Witness
735,1052,Responder
736,1170,Victim
736,1019,Responder
736,1031,Responder
737,1185,Responder
737,1166,Witness
738,1050,Victim
738,1185,Responder
739,1122,Victim
739,1015,Witness
740,1082,Victim
740,1126,Witness
741,1057,Responder
742,1160,Victim
742,1007,Responder
743,1066,Victim
743,1183,Witness
743,1007,Responder
744,1096,Victim
744,1020,Witness
744,1185,Responder
745,1122,Victim
745,1070,Witness
745,1003,Responder
746,1169,Witness
746,1185,Responder
747,1156,Victim
747,1070,Witness
747,1003,Responder
748,1181,Victim
748,1135,Witness
748,1147,Responder
749,1188,Responsible
749,1031,Responder
750,1096,Discoverer
750,1185,Responder
751,1198,Victim
751,1180,Witness
751,1140,Witness
752,1100,Reporter
753,1049,Victim
753,1122,Responder
754,1187,Victim
754,1020,Witness
754,1062,Responder
755,1135,Victim
755,1025,Responder
